user,item,rating
1,25715,7.0
1,25716,10.0
5,25851,9.0
6,25923,5.0
7,25924,6.0
7,25925,7.0
7,25926,7.0
7,25927,9.0
7,25928,7.0
7,25929,9.0
9,25933,10.0
9,25934,10.0
9,25935,7.0
9,25936,8.0
10,25954,9.0
10,25955,9.0
10,25956,10.0
10,25957,9.0
10,25958,9.0
10,25959,9.0
10,25960,9.0
10,25961,10.0
10,25962,9.0
10,25963,9.0
11,26009,8.0
11,26010,6.0
11,26011,5.0
11,26012,10.0
11,26013,10.0
11,26014,9.0
11,26015,7.0
11,26016,3.0
12,26051,5.0
12,26052,5.0
15,26092,7.0
15,26093,9.0
15,26094,8.0
15,26095,8.0
15,26096,7.0
15,26097,9.0
15,26098,9.0
16,26168,6.0
18,26174,8.0
18,26175,8.0
23,26200,5.0
26,26210,8.0
26,26211,5.0
28,26229,7.0
28,26230,4.0
30,26360,5.0
30,26361,7.0
30,26362,7.0
30,26363,5.0
30,26364,7.0
31,26421,8.0
31,26422,10.0
31,26423,9.0
31,26424,9.0
32,26457,5.0
32,26465,9.0
32,26466,7.0
37,26525,6.0
38,26526,8.0
38,26527,6.0
38,26528,8.0
38,26529,8.0
38,26530,7.0
38,26531,6.0
38,26532,8.0
38,26533,5.0
38,26534,9.0
38,26535,8.0
38,26536,8.0
38,26537,8.0
38,26538,8.0
38,26539,8.0
38,26540,7.0
38,26541,7.0
38,26542,8.0
41,26546,8.0
42,26559,7.0
42,26560,5.0
42,26561,4.0
42,26562,7.0
44,26501,7.0
44,26598,8.0
44,26599,8.0
44,26600,3.0
44,26601,8.0
44,26602,7.0
44,26603,8.0
44,26604,5.0
44,26605,7.0
44,26606,8.0
44,26607,5.0
44,26608,7.0
44,26609,9.0
44,26610,6.0
47,26645,6.0
47,26646,7.0
47,26647,8.0
47,26648,7.0
47,26649,7.0
47,26650,7.0
47,26651,8.0
49,26672,7.0
49,26673,6.0
49,26674,10.0
49,26675,9.0
49,26676,10.0
50,26677,10.0
50,26678,10.0
50,26679,9.0
51,26680,9.0
51,26681,8.0
51,26682,4.0
51,26683,8.0
51,26684,7.0
51,26685,10.0
51,26686,10.0
51,26687,10.0
51,26688,8.0
51,26689,10.0
51,26690,9.0
51,26691,9.0
51,26692,7.0
51,26693,10.0
52,26718,10.0
52,26719,8.0
52,26720,9.0
53,26207,9.0
53,26301,9.0
53,26431,10.0
53,26614,10.0
53,26754,8.0
53,26755,7.0
53,26756,5.0
53,26757,10.0
53,26758,7.0
53,26759,9.0
53,26760,8.0
53,26761,8.0
53,26762,9.0
53,26763,8.0
53,26764,6.0
53,26765,9.0
53,26766,8.0
53,26767,10.0
53,26768,10.0
53,26769,10.0
53,26770,7.0
53,26771,8.0
53,26772,8.0
53,26773,5.0
54,26777,10.0
54,26778,8.0
54,26779,7.0
54,26780,10.0
54,26781,8.0
55,26782,10.0
55,26783,10.0
55,26784,10.0
55,26785,10.0
55,26786,10.0
55,26787,10.0
55,26788,10.0
58,26809,9.0
58,26810,9.0
58,26811,9.0
58,26812,9.0
60,26176,8.0
62,26892,8.0
62,26893,6.0
63,26959,7.0
64,26962,7.0
64,26963,5.0
65,25853,7.0
65,26273,8.0
65,26835,6.0
65,27003,10.0
65,27004,7.0
65,27005,5.0
65,27006,3.0
65,27007,7.0
65,27008,5.0
65,27009,7.0
65,27010,4.0
65,27011,9.0
65,27012,4.0
65,27013,8.0
65,27014,9.0
65,27015,6.0
67,27043,7.0
67,27044,7.0
67,27045,9.0
67,27046,8.0
67,27047,10.0
67,27048,5.0
67,27049,6.0
70,27098,8.0
72,27150,7.0
74,27279,6.0
74,27280,5.0
74,27281,7.0
74,27282,6.0
77,27293,5.0
78,26006,10.0
78,26818,10.0
78,27311,8.0
78,27312,8.0
78,27313,9.0
78,27314,7.0
78,27315,10.0
78,27316,9.0
78,27317,6.0
78,27318,8.0
78,27319,8.0
79,27355,8.0
79,27356,8.0
79,27357,7.0
81,26361,9.0
81,26662,9.0
81,26889,7.0
81,27399,5.0
81,27400,10.0
81,27401,9.0
81,27402,8.0
81,27403,7.0
81,27404,7.0
81,27405,7.0
81,27406,9.0
81,27407,9.0
81,27408,6.0
81,27409,5.0
81,27410,7.0
81,27411,1.0
81,27412,5.0
81,27413,6.0
81,27414,8.0
81,27415,9.0
81,27416,5.0
81,27417,9.0
81,27418,8.0
81,27419,7.0
81,27420,7.0
81,27421,8.0
81,27422,4.0
81,27423,5.0
83,27429,9.0
83,27430,7.0
83,27431,7.0
85,27432,5.0
85,27433,5.0
85,27434,5.0
86,27440,5.0
86,27441,5.0
86,27442,5.0
86,27443,5.0
86,27444,5.0
86,27445,5.0
86,27446,5.0
89,26770,8.0
89,26955,8.0
89,27393,9.0
89,27490,8.0
89,27491,7.0
89,27492,8.0
89,27493,10.0
89,27494,8.0
89,27495,7.0
89,27496,6.0
89,27497,7.0
89,27498,5.0
89,27499,7.0
91,26533,7.0
91,27404,7.0
91,27515,7.0
91,27516,8.0
92,27538,6.0
94,27542,6.0
94,27543,3.0
100,27685,10.0
100,27686,10.0
100,27687,10.0
100,27688,8.0
100,27689,9.0
100,27690,10.0
100,27691,10.0
100,27692,10.0
100,27693,10.0
100,27694,10.0
100,27695,7.0
100,27696,9.0
100,27697,9.0
100,27698,6.0
100,27699,7.0
100,27700,5.0
100,27701,10.0
100,27702,10.0
100,27703,7.0
100,27704,7.0
100,27705,5.0
101,26449,6.0
101,27043,7.0
101,27451,8.0
101,27488,6.0
101,27714,9.0
101,27715,9.0
102,26207,8.0
102,26626,9.0
102,27131,9.0
102,27132,9.0
102,27718,9.0
102,27719,7.0
102,27720,7.0
102,27721,5.0
102,27722,5.0
102,27723,5.0
102,27724,6.0
102,27725,5.0
102,27726,5.0
102,27727,7.0
102,27728,6.0
102,27729,8.0
102,27730,7.0
102,27731,9.0
102,27732,9.0
102,27733,9.0
102,27734,10.0
102,27735,8.0
102,27736,10.0
102,27737,9.0
102,27738,8.0
102,27739,9.0
102,27740,9.0
102,27741,5.0
102,27742,8.0
102,27743,7.0
102,27744,9.0
102,27745,8.0
102,27746,8.0
102,27747,8.0
102,27748,8.0
102,27749,7.0
102,27750,9.0
102,27751,9.0
102,27752,8.0
102,27753,9.0
104,27092,9.0
104,27764,5.0
104,27765,5.0
104,27766,5.0
104,27767,5.0
104,27768,5.0
110,27871,10.0
110,27872,9.0
110,27873,9.0
112,27949,9.0
112,27950,7.0
113,27951,10.0
113,27952,8.0
114,25871,10.0
114,26219,7.0
114,26299,10.0
114,26361,10.0
114,26434,9.0
114,26566,10.0
114,26756,10.0
114,27978,10.0
114,27979,9.0
114,27980,10.0
114,27981,10.0
114,27982,9.0
114,27983,10.0
114,27984,10.0
114,27985,9.0
114,27986,10.0
114,27987,10.0
114,27988,8.0
114,27989,9.0
114,27990,9.0
114,27991,9.0
114,27992,9.0
114,27993,10.0
114,27994,9.0
114,27995,9.0
114,27996,10.0
114,27997,10.0
114,27998,9.0
114,27999,8.0
114,28000,10.0
114,28001,10.0
114,28002,9.0
114,28003,7.0
114,28004,10.0
114,28005,9.0
114,28006,9.0
114,28007,7.0
114,28008,8.0
114,28009,9.0
115,28074,5.0
115,28075,8.0
115,28076,8.0
115,28077,7.0
115,28078,7.0
115,28079,7.0
115,28080,8.0
115,28081,8.0
115,28082,7.0
115,28083,6.0
115,28084,6.0
115,28085,6.0
115,28086,7.0
115,28087,7.0
115,28088,7.0
115,28089,4.0
115,28090,8.0
115,28091,6.0
115,28092,6.0
115,28093,7.0
116,28098,10.0
117,26361,3.0
117,28107,5.0
117,28108,9.0
117,28109,6.0
117,28110,10.0
117,28111,10.0
117,28112,7.0
117,28113,9.0
117,28114,9.0
117,28115,4.0
117,28116,5.0
117,28117,4.0
117,28118,4.0
117,28119,10.0
117,28120,10.0
117,28121,5.0
117,28122,10.0
117,28123,9.0
117,28124,8.0
117,28125,9.0
118,27794,10.0
118,28145,8.0
118,28146,9.0
118,28147,10.0
118,28148,8.0
118,28149,10.0
118,28150,8.0
118,28151,10.0
118,28152,10.0
118,28153,10.0
118,28154,8.0
118,28155,6.0
118,28156,10.0
119,28158,8.0
119,28159,8.0
120,25744,8.0
120,27205,8.0
122,28213,5.0
122,28214,5.0
123,28216,7.0
123,28217,10.0
123,28218,7.0
124,28228,8.0
124,28229,8.0
124,28230,8.0
125,28372,8.0
127,27161,7.0
127,28153,6.0
127,28440,10.0
127,28441,9.0
127,28442,10.0
128,25970,7.0
128,26200,7.0
128,28471,8.0
128,28472,7.0
128,28473,7.0
128,28474,8.0
128,28475,7.0
128,28476,7.0
128,28477,9.0
128,28478,8.0
128,28479,6.0
128,28480,5.0
128,28481,6.0
128,28482,7.0
128,28483,7.0
128,28484,7.0
132,27334,10.0
132,28620,8.0
132,28621,6.0
132,28622,7.0
132,28623,7.0
132,28624,10.0
133,28639,8.0
133,28640,7.0
133,28641,9.0
135,27107,4.0
135,27161,10.0
135,27488,10.0
135,27500,5.0
135,27706,10.0
135,28568,5.0
135,28711,10.0
135,28712,8.0
135,28713,10.0
135,28714,6.0
135,28715,7.0
135,28716,5.0
135,28717,10.0
135,28718,10.0
135,28719,9.0
135,28720,7.0
135,28721,8.0
135,28722,9.0
135,28723,4.0
135,28724,6.0
135,28725,5.0
135,28726,6.0
135,28727,7.0
135,28728,10.0
135,28729,7.0
135,28730,6.0
135,28731,3.0
136,28732,6.0
136,28733,9.0
137,28748,8.0
137,28749,10.0
137,28750,6.0
138,28753,5.0
139,26176,8.0
139,27429,8.0
139,28764,1.0
139,28765,6.0
139,28766,5.0
139,28767,8.0
139,28768,7.0
139,28769,7.0
139,28770,7.0
139,28771,9.0
139,28772,9.0
142,25707,4.0
142,26245,7.0
142,28784,5.0
142,28785,4.0
142,28786,7.0
142,28787,7.0
142,28788,4.0
142,28789,6.0
142,28790,6.0
142,28791,8.0
142,28792,6.0
142,28793,7.0
142,28794,7.0
142,28795,5.0
143,26673,9.0
144,27537,5.0
144,28595,7.0
144,28817,6.0
144,28818,3.0
144,28819,6.0
144,28820,7.0
144,28821,6.0
145,28823,5.0
145,28824,7.0
145,28825,6.0
146,28955,9.0
147,28964,8.0
147,28965,9.0
147,28966,8.0
147,28967,6.0
148,29009,10.0
149,29074,8.0
149,29075,8.0
151,29098,8.0
151,29099,10.0
